,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,200,0,0,0,0,0,0,0,0,0
automobile,200,0,0,0,0,0,0,0,0,0
bird,200,0,0,0,0,0,0,0,0,0
cat,200,0,0,0,0,0,0,0,0,0
deer,200,0,0,0,0,0,0,0,0,0
dog,200,0,0,0,0,0,0,0,0,0
frog,200,0,0,0,0,0,0,0,0,0
horse,200,0,0,0,0,0,0,0,0,0
ship,200,0,0,0,0,0,0,0,0,0
truck,200,0,0,0,0,0,0,0,0,0
