,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,115,17,7,14,1,5,3,1,15,22
automobile,12,111,0,8,1,2,6,4,8,48
bird,41,18,57,22,5,28,18,4,2,5
cat,19,20,24,39,4,56,15,8,3,12
deer,22,19,60,8,9,25,45,5,5,2
dog,14,11,24,56,4,52,17,11,4,7
frog,10,20,29,19,2,19,90,4,0,7
horse,10,23,27,24,4,27,35,17,0,33
ship,81,42,5,4,0,1,2,1,38,26
truck,15,54,1,7,1,2,6,3,13,98
