,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,92,9,18,19,3,8,4,8,27,12
automobile,14,84,15,19,5,11,4,8,11,29
bird,16,10,84,16,16,17,19,15,4,3
cat,5,10,31,66,20,28,17,12,3,8
deer,5,2,62,10,50,19,25,18,4,5
dog,7,4,38,40,19,44,16,23,7,2
frog,2,7,22,44,13,18,74,9,2,9
horse,13,7,29,18,17,19,6,75,7,9
ship,31,17,20,12,8,6,2,6,79,19
truck,18,33,17,16,2,4,7,10,19,74
