,precision,recall,f1-score,support
0,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,75.0
2,1.0,1.0,1.0,75.0
3,1.0,1.0,1.0,75.0
4,1.0,1.0,1.0,75.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,375.0
weighted avg,1.0,1.0,1.0,375.0
